"HolderAddress","Quantity","PendingBalanceUpdate"
"0xff67e1eec7981b329e0fbc85cddb1b5f0583df9c","3","No"
"0x1c844fbd946ff35385d636953017cee2781db754","3","No"
"0xe488fbac4a5c9b35325343a1c56723450e427d69","3","No"
"0x545f02c130aa93f33d7f089734b3ff09be9bf024","3","No"
"0x9f3a14c728810ba916aaf3dfea40d926d11f9329","3","No"
"0x193f0ee42a199a0cecd479a9f09ba293eb1ca357","3","No"
"0x992007e4e23949e54b13d34e4ae27eb406ce351e","3","No"
"0xe53f4d44c45dbc16a20ab64f8a8b4404ddbbefec","3","No"
"0xd5835db0959569622681dcff1e72b0936170bd6b","3","No"
"0x99921a835ad60c52e1900c8276f1f367101df9f4","3","No"
"0xdc3f185290e1a77e1fef5cddbec873d0781156c1","3","No"
"0xa7f1881cf4a67c302df48b1b97d0824f88c80b22","3","No"
"0xbd0fbb7792fb74a75e5e5bd6cd1354d64326cef3","3","No"
"0x7be8dbb062ffceeea525e963f033fe4fdf35e41e","3","No"
"0x26a6f7f767aa8b3055e5d023be23d3bf7242f4f6","3","No"
"0x9d003d4ea17b01542128f8aa4df8dbfb9afa764d","3","No"
"0xdf849f4b2db95c7346205479fe5744fde47fc2ff","3","No"
"0xf3bcd2e7cc95ac1c5824da5e372b9d6259dcf75c","3","No"
"0x31861bf9d1348252512bb6fad4525e3a0f7b61ab","3","No"
"0x0eeb1b4854252fa5e1defbf4c441315e2abd279a","3","No"
"0x105b7b1e87b4035eac42b8d7cf07b210f0284d33","3","No"
"0xc59af5b5730fd0d7541af26d5e7f9dd13a514947","3","No"
"0xe3dbc254cdae5a77c96bcaada89ee6f19515eb9d","3","No"
"0xdecab2d09e3f90e5f0a2f1f8e8dc4c06efc30b6d","3","No"
"0xe10772c3c2e8879b13d5d2886ef8e9f9b95b83aa","3","No"
"0xe40be32f37ab196652292fd1945ded0be8a840e7","3","No"
"0x881aeac0e9424002ec5866ada5bfd6529eef254e","3","No"
"0x6d0c7c6c4ed61a3c599e9b8a37aa38aeb78cb259","3","No"
"0x5062643314417a88ae40bbdc8b15f21c4abb288b","3","No"
"0xead6605b9e105e28bd35e9f494131c10c1281ce9","3","No"
"0x5c811e9cc160352d37a24b2a6e43b14310a6ee45","3","No"
