"HolderAddress","Quantity","PendingBalanceUpdate"
"0x552b6ad871f27a9729162c18d769050363f2d57e","3","No"
"0x56fcfeb7d7afa46c9aa58f08a04fbb11eb27808c","3","No"
"0x5831240fd3f7593f627da552fe7ddd60e9685723","3","No"
"0x584aa82e6ad7ca8861d20ad73ccb58e7d167eb6a","3","No"
"0x592fb24d4fc4cb0779b06c6f881c498fdf39d612","3","No"
"0x599402d124eb10bb6c072e52050c1223afdd3226","3","No"
"0x5a2a763adc27ac0044593d0ce9f5a4cf6d4ec073","3","No"
"0x5b0967c34c75ffb95bcdba9bb50b57424ad1e01c","3","No"
"0x5ba47f8c64fcf55e986e2f37860b91b501d1b1ed","3","No"
"0x5c08812d7adf8565125c03c33e066830dcd63023","3","No"
"0x5c811e9cc160352d37a24b2a6e43b14310a6ee45","3","No"
"0x5d20382abe902bc77b7e80496af3dad37f308dc2","3","No"
"0x5dfa3092be17f441f85a4b3218a7675f0efcf9a3","3","No"
"0x5e46884a77e0ac5f3126e30720bd5218814dc5e2","3","No"
"0x5f007ec3287d6ecdd0ecd84f2c9db405fb18b25b","3","No"
"0x5f1dd22f8bc094d39a7f8690db8db9038ff75375","3","No"
"0x5f50d21700333e15f7ffc3ae38c9b396f1b449e4","3","No"
"0x5f98e038235b0f40e0da56cd89b3f8078324ccee","3","No"
"0x5ff3ed19a7223446d2015efa8c94ddde9bff3c56","3","No"
"0x60aa29e78f8906c80bd8e746404348a025a95cfd","3","No"
"0x6189717673e1ed5da55080d0898c70f91d2784d0","3","No"
"0x619836e90a888e20519f10fbc8a9f55086c13a20","3","No"
"0x6206d5426af834886d1d424aaec7a1e03478e702","3","No"
"0x62fe78afe2581bffe29d119f743f9438177a98fb","3","No"
"0x638f8e3a5301be6e6f8fb0d251f620411c0c243d","3","No"
"0x64023da595c3ac58bc01a2dfb39803bdecc1493c","3","No"
"0x65a831d9fb2cc87a7956eb8e4720956f6bfc6eea","3","No"
"0x6627652c8f6232b53e64b9af93a4a8b6683a7fce","3","No"
"0x66e5761a2103d7d3537d6ac45570a0a9831c7f7a","3","No"
"0x67123c503ebd779d3a61dce56c07a7be89c993f8","3","No"
"0x67c3097a968db89610825976ec9a5976a966c044","3","No"
